intensity_filename,mask_filename,label,original-mean,original-median,original-min,original-max,original-range,original-standard_deviation,original-skewness,original-kurtosis,original-mean_absolute_deviation,original-energy,original-root_mean_squared,original-entropy,original-mode,original-uniformity,original-p10,original-p25,original-p75,original-p90,original-interquartile_range,original-robust_mean_absolute_deviation,original-weighted_centroid_y,original-weighted_centroid_x
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,1,34307.145,33413,10926,58033,47107,11087.107,0.096264835,2.272433,9015.8597,3.0417757e+11,36054.184,7.6876515,38241,0.0050770692,19731,26459,42307,50313,15848,6602.6268,5.4068533,162.64391
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,2,39277.203,39184.5,21208,53976,32768,8500.6181,-0.046772582,2.0528672,7257.9865,1.1950698e+11,40186.554,6.1283723,26270,0.014609204,28645,32404,45408,52023,13004,5687.9333,2.9508514,185.25829
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,3,27587.471,27048,12648,40980,28332,7762.3503,0.0099904608,1.9392715,6666.6173,6.9812422e+10,28658.727,5.5827478,22680,0.022560554,16771,21405,33522,38673,12117,5391.3118,2.7802276,206.56111
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,4,23718.353,23539,11217,30360,19143,5187.7356,-0.726969,2.9590761,4087.6678,1.0021039e+10,24279.062,3.7345217,23539,0.079584775,15339,21405,28371,30360,6966,3561.8125,3.4816523,255.17252
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,5,28060.37,27887,10305,48893,38588,9550.3036,0.16368737,1.9629127,8176.7709,2.1349802e+11,29641.064,6.2217302,14887,0.015360125,15339,19610,36551,41189,16941,6569.5957,9.8526962,222.82818
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,6,33593.566,33223.5,8756,65459,56703,12137.065,0.18709574,2.4801511,9868.9892,6.1750463e+11,35718.847,8.1774985,18053,0.0040212417,17747,25116,42045,50216,16929,7102.6741,15.913003,63.780617
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,7,32760.652,33832,8248,50039,41791,8956.8629,-0.4329448,2.4804989,7368.6776,4.0718045e+11,33963.005,6.4811966,34901,0.012992641,20038,27048,39459,43493,12411,5447.9694,15.611424,246.78908
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,8,37516.647,38640,15799,55815,40016,9279.1986,-0.29657827,2.0950549,7858.8539,7.2439714e+11,38647.152,8.5287104,26568,0.0030056329,24241,30025,45368,49063,15343,6061.5163,16.80582,185.03898
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,9,17633.674,17051,8163,25689,17526,4815.2879,-0.072009274,2.0675295,4100.3119,1.5370139e+10,18279.318,5.523562,8163,0.02173913,10543,14222,21583,24313,7361,3252.1247,21.056411,160.28624
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,10,31151.969,31098,13584,53165,39581,8928.7426,0.15960465,2.246455,7473.1212,2.6779274e+11,32406.289,6.2349584,25237,0.015824683,19150,24370,37450,43029,13080,5696.9845,23.758013,222.59558
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,11,30870.262,31436,15799,45239,29440,7026.9049,-0.1082688,2.3864284,5828.3659,1.032421e+11,31659.919,5.6477266,27887,0.023470638,21405,26088,36551,39975,10463,4285.327,29.673949,249.20053
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,12,26911.31,26568,14887,43493,28606,6118.9465,0.25159384,2.334913,5085.2504,2.4830119e+11,27598.19,6.00953,20522,0.018913019,18695,21788,31779,35236,9991,4011.5288,36.5571,199.99733
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,13,36251.087,37450,17239,53165,35926,7388.5604,-0.32567566,2.6268612,5972.942,5.5159905e+11,36996.38,6.3964948,32897,0.013773867,25237,31436,41686,44598,10250,4336.1521,38.442652,230.8034
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,14,24145.729,21623,8216,55565,47349,9534.1933,0.93770755,3.6069962,7556.5893,1.7184886e+11,25959.913,7.7188057,17335,0.0051211073,13415,17335,29488,36922,12153,5249.1138,38.905744,175.29203
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,15,30831.869,31098,10305,48530,38225,7516.5979,-0.16245623,3.0862524,5860.6286,2.1552013e+11,31734.892,5.9888862,27048,0.018254869,20522,26568,35236,41189,8668,3958.459,41.415801,250.29279
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,16,37975.54,37450,18695,58360,39665,10313.341,0.08740044,1.747048,9168.1836,2.9266775e+11,39351.069,6.4657739,26088,0.01335349,25237,28782,47292,51955,18510,7666.8429,43.130889,216.29927
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,17,21392.456,20962,5917,37321,31404,7000.9873,0.070055551,2.0464188,5994.4952,1.2007628e+11,22508.909,6.4106653,16416,0.013156723,11931,15859,26709,31299,10850,4761.6451,53.976532,59.21199
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,18,21188.333,20072,9857,39044,29187,7337.315,0.46869269,2.4463683,6065.4815,2.715021e+10,22422.793,5.6437764,15440,0.020576132,12346,15440,25515,31840,10075,4596.8636,54.556124,74.862711
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,19,40039.704,39197,0,65531,65531,14331.024,-0.35522957,3.1385239,11355.347,3.418171e+11,42527.122,7.0112426,0,0.0090982895,22244,32142,50721,59824,18579,8102.1649,53.792002,195.1501
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,20,19585.023,19150,8905,28371,19466,4790.1879,-0.07335609,2.4425594,3934.5365,1.7480319e+10,20162.317,4.6934793,16299,0.041644132,13584,16299,23539,26568,7240,2914.1061,57.439909,254.31902
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,21,26136.587,26951,9490,47119,37629,8462.0772,0.043812762,2.2993868,7057.1725,1.9547453e+11,27472.312,7.9675616,13084,0.0040697068,13919,18679,31900,36757,13221,5330.2139,67.960958,67.035527
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,22,25890.281,25219,9797,47506,37709,9112.9551,0.1156655,2.1413968,7620.9258,2.0943202e+11,27447.269,7.7878652,20522,0.0050204441,12963,19247,33167,38673,13920,5825.4306,69.558573,227.72497
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,23,32375.464,30686,15339,53532,38193,9666.7935,0.34687917,2.0603658,8160.2484,2.6599689e+11,33787.831,7.5839964,19046,0.0056549209,19501,25080,40000,46977,14920,6324.7855,71.774729,251.183
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,24,31603.865,30134,15645,53967,38322,10122.115,0.47744284,2.2750602,8324.1429,1.7069553e+11,33185.26,7.1728986,27580,0.0071175858,19175,23801,39245,47982,15444,6331.6538,82.221901,237.1389
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,25,26385.132,26624.5,16863,37039,20176,4665.7329,0.14936475,2.5102079,3712.9481,4.8820211e+10,26794.482,6.0286393,28097,0.015570934,19735,22595,29242,32993,6647,2824.1348,88.4673,254.06208
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,26,44224.66,44924,14246,65439,51193,17372.883,-0.12891428,1.5572881,15522.687,3.3187273e+11,47514.604,6.5927385,65431,0.01504003,19352,27976,63914,65431,35938,13641.936,99.433041,234.8979
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,27,24868.31,23742.5,9369,50725,41356,8919.2057,0.65903597,3.0242426,7096.5863,1.9124791e+11,26419.407,8.0761343,9748,0.0037295541,13980,18457,29932,37390,11475,4949.0727,104.4321,97.057628
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,28,33213.555,32897,13984,58219,44235,10298.166,0.31985998,2.4536486,8440.5734,1.6565937e+11,34773.445,6.9666452,22563,0.0082582983,20780,25499,40254,46655,14755,6258.8061,110.99364,233.04092
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,29,20566.524,19217,11487,32485,20998,5590.0507,0.3596005,1.9222824,4873.8578,3.7246909e+10,21312.686,6.1196279,17118,0.015466984,14806,16105,26120,28601,10015,3866.2443,124.14496,48.50768
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,30,28831.35,30109.5,6627,46699,40072,8198.8504,-0.44390042,2.5826941,6671.2703,2.5696181e+11,29974.454,8.1109203,17105,0.003667661,16944,24023,34546,38882,10523,4846.5357,129.88368,150.35117
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,31,25197.718,24569.5,8498,44928,36430,8162.2597,0.11306715,2.227029,6793.0697,1.6416211e+11,26486.741,7.7816686,30360,0.0046752867,13992,18755,31691,35716,12936,5120.5177,139.30915,161.38379
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,32,27228.604,26693,7304,62272,54968,7954.4054,0.87612821,5.4604817,5952.8776,3.5324988e+11,28366.696,8.6516312,21587,0.0025788575,18037,21647,31699,36014,10052,3969.2121,141.40093,69.03495
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,33,24139.165,23027,8002,64366,56364,9197.3789,1.1602887,4.9332362,7010.682,4.7844768e+11,25831.977,9.091362,14871,0.0020093797,13988,17577,28674,35615,11097,4702.2715,144.01023,37.679238
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,34,22553.569,22942,6631,41544,34913,7652.1151,0.13608608,2.5413554,6202.1278,9.0754933e+10,23816.346,7.162492,6631,0.00734375,12322,16513,27532,33590,11019,4530.0267,146.46591,99.85301
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,35,22584.693,21671,9898,46643,36745,6745.9335,0.89709604,3.8875533,5173.5248,1.5556127e+11,23570.659,7.9908727,23200,0.0040816327,15012,17916,26124,31771,8208,3459.3962,155.05817,62.626547
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,36,24810.844,22200,9377,48994,39617,9597.1429,0.66056287,2.4177599,8039.9575,1.4082895e+11,26602.315,7.5964236,16605,0.0052271407,14577,17271,31436,39943,14165,6083.8939,169.62988,102.42516
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,37,23715.992,23507,10051,36345,26294,6209.1155,0.053662239,2.1679208,5223.2212,7.3322169e+10,24515.33,6.881557,16513,0.0085998388,15831,18949,28754,31767,9805,3977.4652,183.13293,112.00568
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,38,18797.943,17123.5,6659,42315,35656,7006.458,0.96309325,3.58497,5555.5546,2.4066697e+11,20061.234,9.0032005,23458,0.0020805136,11317,13572,22643,28956,9071,3865.985,188.64281,95.650909
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,39,32224.642,32160.5,10773,58566,47793,11103.948,0.087786234,2.0483944,9328.5216,2.6952026e+11,34084.091,7.2960077,21631,0.007431629,16779,23297,41125,47962,17828,7198.9013,195.34579,15.948583
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,40,45295.49,46604.5,10055,65277,55222,13604.915,-0.39689668,2.3428175,11254.379,6.4419122e+11,47294.557,6.9973523,65277,0.012152778,25330,35857,56799,63123,20942,8492.8773,210.4199,31.552916
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,41,34914.014,35087,14819,54710,39891,10116.645,-0.14035738,2.0624005,8445.8031,3.7658044e+11,36350.17,7.0244128,33050,0.0089504463,20062,26992,43130,48881,16138,6603.3888,226.84774,53.663706
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,42,19998.16,19606,9773,34942,25169,5005.5377,0.58837368,3.0660823,4030.9661,1.1389513e+11,20615.087,5.9430387,18247,0.018795946,14097,15835,22873,26641,7038,2925.4846,235.23158,240.51995
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,43,15516.724,15343,9030,23216,14186,3857.0253,0.31159028,2.177858,3293.4388,7.4137158e+09,15988.914,4.7890155,16408,0.03686088,11309,12749,18945,22232,6196,2711.344,243.97076,98.037348
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,44,18504.951,18525,10599,24644,14045,3617.3686,-0.13595699,1.9594397,3104.2228,2.8797003e+10,18855.2,5.1439485,14387,0.033074226,14097,14972,21522,23148,6550,2474.1657,251.5937,229.67947
