,ROI_label,Co-occurenced Based Features::Overall Joint Maximum,Co-occurenced Based Features::Overall Joint Average,Co-occurenced Based Features::Overall Joint Variance,Co-occurenced Based Features::Overall Joint Entropy,Co-occurenced Based Features::Overall Difference Average,Co-occurenced Based Features::Overall Difference Variance,Co-occurenced Based Features::Overall Difference Entropy,Co-occurenced Based Features::Overall Sum Average,Co-occurenced Based Features::Overall Sum Variance,Co-occurenced Based Features::Overall Sum Entropy,Co-occurenced Based Features::Overall Angular Second Moment,Co-occurenced Based Features::Overall Contrast,Co-occurenced Based Features::Overall Dissimilarity,Co-occurenced Based Features::Overall Inverse Difference,Co-occurenced Based Features::Overall Inverse Difference Normalized,Co-occurenced Based Features::Overall Inverse Difference Moment,Co-occurenced Based Features::Overall Inverse Difference Moment Normalized,Co-occurenced Based Features::Overall Inverse Variance,Co-occurenced Based Features::Overall Correlation,Co-occurenced Based Features::Overall Autocorrelation,Co-occurenced Based Features::Overall Cluster Tendency,Co-occurenced Based Features::Overall Cluster Shade,Co-occurenced Based Features::Overall Cluster Prominence,Co-occurenced Based Features::Overall First Measure of Information Correlation,Co-occurenced Based Features::Overall Second Measure of Information Correlation,Co-occurenced Based Features::Overall Row Maximum,Co-occurenced Based Features::Overall Row Average,Co-occurenced Based Features::Overall Row Variance,Co-occurenced Based Features::Overall Row Entropy,Co-occurenced Based Features::Overall First Row-Column Entropy,Co-occurenced Based Features::Overall Second Row-Column Entropy,Co-occurenced Based Features::Mean Joint Maximum,Co-occurenced Based Features::Mean Joint Average,Co-occurenced Based Features::Mean Joint Variance,Co-occurenced Based Features::Mean Joint Entropy,Co-occurenced Based Features::Mean Difference Average,Co-occurenced Based Features::Mean Difference Variance,Co-occurenced Based Features::Mean Difference Entropy,Co-occurenced Based Features::Mean Sum Average,Co-occurenced Based Features::Mean Sum Variance,Co-occurenced Based Features::Mean Sum Entropy,Co-occurenced Based Features::Mean Angular Second Moment,Co-occurenced Based Features::Mean Contrast,Co-occurenced Based Features::Mean Dissimilarity,Co-occurenced Based Features::Mean Inverse Difference,Co-occurenced Based Features::Mean Inverse Difference Normalized,Co-occurenced Based Features::Mean Inverse Difference Moment,Co-occurenced Based Features::Mean Inverse Difference Moment Normalized,Co-occurenced Based Features::Mean Inverse Variance,Co-occurenced Based Features::Mean Correlation,Co-occurenced Based Features::Mean Autocorrelation,Co-occurenced Based Features::Mean Cluster Tendency,Co-occurenced Based Features::Mean Cluster Shade,Co-occurenced Based Features::Mean Cluster Prominence,Co-occurenced Based Features::Mean First Measure of Information Correlation,Co-occurenced Based Features::Mean Second Measure of Information Correlation,Co-occurenced Based Features::Mean Row Maximum,Co-occurenced Based Features::Mean Row Average,Co-occurenced Based Features::Mean Row Variance,Co-occurenced Based Features::Mean Row Entropy,Co-occurenced Based Features::Mean First Row-Column Entropy,Co-occurenced Based Features::Mean Second Row-Column Entropy,Co-occurenced Based Features::Std.Dev. Joint Maximum,Co-occurenced Based Features::Std.Dev. Joint Average,Co-occurenced Based Features::Std.Dev. Joint Variance,Co-occurenced Based Features::Std.Dev. Joint Entropy,Co-occurenced Based Features::Std.Dev. Difference Average,Co-occurenced Based Features::Std.Dev. Difference Variance,Co-occurenced Based Features::Std.Dev. Difference Entropy,Co-occurenced Based Features::Std.Dev. Sum Average,Co-occurenced Based Features::Std.Dev. Sum Variance,Co-occurenced Based Features::Std.Dev. Sum Entropy,Co-occurenced Based Features::Std.Dev. Angular Second Moment,Co-occurenced Based Features::Std.Dev. Contrast,Co-occurenced Based Features::Std.Dev. Dissimilarity,Co-occurenced Based Features::Std.Dev. Inverse Difference,Co-occurenced Based Features::Std.Dev. Inverse Difference Normalized,Co-occurenced Based Features::Std.Dev. Inverse Difference Moment,Co-occurenced Based Features::Std.Dev. Inverse Difference Moment Normalized,Co-occurenced Based Features::Std.Dev. Inverse Variance,Co-occurenced Based Features::Std.Dev. Correlation,Co-occurenced Based Features::Std.Dev. Autocorrelation,Co-occurenced Based Features::Std.Dev. Cluster Tendency,Co-occurenced Based Features::Std.Dev. Cluster Shade,Co-occurenced Based Features::Std.Dev. Cluster Prominence,Co-occurenced Based Features::Std.Dev. First Measure of Information Correlation,Co-occurenced Based Features::Std.Dev. Second Measure of Information Correlation,Co-occurenced Based Features::Std.Dev. Row Maximum,Co-occurenced Based Features::Std.Dev. Row Average,Co-occurenced Based Features::Std.Dev. Row Variance,Co-occurenced Based Features::Std.Dev. Row Entropy,Co-occurenced Based Features::Std.Dev. First Row-Column Entropy,Co-occurenced Based Features::Std.Dev. Second Row-Column Entropy
0,1,0.0,155.18,2311.59,10.43,18.46,204.08,5.52,310.36,8701.55,8.1,0.0,544.81,18.46,0.11,0.94,0.05,0.99,0.05,0.88,26119.82,8701.55,24906.81,171438935.71,-0.48,1.0,0.02,155.18,2311.59,6.88,13.76,13.76,0.0,47.75,710.72,2.66,5.7,60.44,1.64,95.51,2673.84,2.19,0.0,169.03,5.7,0.03,0.29,0.01,0.31,0.01,0.27,8037.6,2673.84,8416.01,52609672.28,-0.23,0.31,0.01,47.75,710.72,2.11,4.23,4.23,0.0,71.63,1066.77,3.99,8.72,102.11,2.46,143.26,4018.21,3.29,0.0,278.33,8.72,0.05,0.43,0.02,0.46,0.02,0.41,12056.77,4018.21,14648.38,79418842.26,0.34,0.46,0.01,71.63,1066.77,3.17,6.34,6.34
0,2,0.01,190.82,1553.65,8.63,19.19,319.79,5.5,381.64,5526.47,7.1,0.0,688.14,19.19,0.13,0.93,0.07,0.99,0.05,0.78,37621.09,5526.47,-43253.66,65299252.47,-0.5,1.0,0.03,190.82,1553.65,5.75,11.49,11.49,0.01,58.71,478.33,2.11,5.99,95.78,1.52,117.42,1695.88,1.75,0.0,217.45,5.99,0.04,0.29,0.02,0.3,0.02,0.24,11572.94,1695.88,-13154.81,20011851.59,-0.25,0.31,0.01,58.71,478.33,1.76,3.52,3.52,0.01,88.07,717.64,3.16,9.26,158.82,2.29,176.14,2546.71,2.63,0.0,356.35,9.26,0.06,0.43,0.03,0.46,0.03,0.36,17359.87,2546.71,20798.51,30139801.54,0.37,0.46,0.02,88.07,717.64,2.64,5.28,5.28
0,3,0.01,175.85,2125.24,8.74,25.45,328.05,5.62,351.69,7525.03,7.26,0.0,975.91,25.45,0.1,0.91,0.05,0.99,0.03,0.77,32558.86,7525.03,5753.1,115010878.27,-0.42,0.99,0.06,175.85,2125.24,5.52,11.04,11.04,0.01,54.1,651.3,2.17,7.99,85.0,1.53,108.21,2296.77,1.83,0.0,308.45,7.99,0.03,0.28,0.02,0.3,0.01,0.23,10010.63,2296.77,2212.74,34869565.48,-0.22,0.31,0.02,54.1,651.3,1.69,3.38,3.38,0.01,81.16,978.86,3.26,12.63,134.46,2.3,162.31,3474.25,2.75,0.0,510.3,12.63,0.05,0.42,0.03,0.45,0.01,0.35,15016.92,3474.25,12622.11,53650913.38,0.33,0.46,0.03,81.16,978.86,2.54,5.08,5.08
0,4,0.02,204.98,1654.25,6.23,38.32,653.26,4.94,409.95,4495.45,5.28,0.01,2121.55,38.32,0.08,0.88,0.05,0.97,0.0,0.36,42609.16,4495.45,-277569.53,66435227.36,-0.31,0.95,0.14,204.98,1654.25,3.68,7.36,7.36,0.02,63.13,500.96,1.35,12.0,195.27,1.01,126.26,1325.02,1.06,0.02,678.81,12.0,0.03,0.27,0.02,0.3,0.0,0.1,13117.5,1325.02,-78641.01,18941557.42,-0.24,0.31,0.05,63.13,500.96,1.11,2.23,2.23,0.04,94.71,759.24,2.03,18.43,331.41,1.52,189.42,2060.3,1.59,0.02,1119.61,18.43,0.05,0.4,0.04,0.45,0.0,0.2,19688.91,2060.3,137063.52,32577059.31,0.36,0.46,0.07,94.71,759.24,1.67,3.35,3.35
0,5,0.0,150.07,2510.28,10.21,25.04,403.84,5.95,300.13,9010.21,8.01,0.0,1030.91,25.04,0.11,0.92,0.05,0.98,0.03,0.79,24514.78,9010.21,104522.85,161929177.28,-0.36,0.99,0.03,150.07,2510.28,6.23,12.46,12.46,0.0,46.18,772.44,2.65,7.73,117.22,1.74,92.36,2770.93,2.2,0.0,318.84,7.73,0.03,0.28,0.02,0.3,0.01,0.24,7543.69,2770.93,32119.28,49794336.88,-0.19,0.31,0.01,46.18,772.44,1.92,3.83,3.83,0.0,69.27,1158.7,3.98,11.91,187.24,2.62,138.54,4160.54,3.3,0.0,517.68,11.91,0.05,0.42,0.03,0.45,0.02,0.37,11316.16,4160.54,48539.79,74956174.79,0.28,0.46,0.01,69.27,1158.7,2.87,5.75,5.75
0,6,0.0,135.87,2117.69,11.46,21.31,324.86,5.8,271.75,7691.63,8.27,0.0,779.14,21.31,0.11,0.93,0.05,0.99,0.05,0.82,20189.88,7691.63,92526.64,150296370.42,-0.4,1.0,0.02,135.87,2117.69,7.18,14.36,14.36,0.0,41.81,651.39,2.99,6.57,96.62,1.74,83.62,2364.84,2.38,0.0,240.72,6.57,0.03,0.29,0.02,0.3,0.02,0.25,6212.34,2364.84,28851.88,46197655.92,-0.2,0.31,0.01,41.81,651.39,2.21,4.42,4.42,0.0,62.72,977.21,4.49,10.05,159.24,2.62,125.43,3552.95,3.57,0.0,391.41,10.05,0.05,0.43,0.02,0.46,0.02,0.38,9318.53,3552.95,44330.57,69721918.34,0.3,0.46,0.01,62.72,977.21,3.31,6.62,6.62
0,7,0.0,171.11,1929.7,10.69,20.03,267.85,5.66,342.21,7049.6,8.04,0.0,669.2,20.03,0.11,0.93,0.05,0.99,0.04,0.83,30872.25,7049.6,-252360.98,126898646.13,-0.34,0.99,0.03,171.11,1929.7,6.44,12.88,12.88,0.0,52.65,593.54,2.82,6.19,78.77,1.7,105.3,2166.79,2.28,0.0,207.38,6.19,0.03,0.29,0.02,0.3,0.01,0.25,9499.31,2166.79,-77181.68,38944082.29,-0.18,0.31,0.01,52.65,593.54,1.98,3.96,3.96,0.0,78.98,890.46,4.23,9.51,131.99,2.55,157.95,3256.37,3.42,0.0,343.77,9.51,0.05,0.43,0.02,0.46,0.02,0.38,14248.98,3256.37,116437.04,58747840.96,0.27,0.46,0.01,78.98,890.46,2.97,5.94,5.94
0,8,0.0,175.58,1720.77,11.28,16.22,178.89,5.42,351.17,6440.95,8.08,0.0,442.12,16.22,0.13,0.94,0.06,0.99,0.06,0.87,32329.5,6440.95,-171225.99,87874373.52,-0.39,1.0,0.02,175.58,1720.77,7.0,14.01,14.01,0.0,54.03,529.46,2.98,5.0,53.69,1.63,108.05,1981.53,2.34,0.0,136.33,5.0,0.04,0.29,0.02,0.31,0.02,0.27,9947.71,1981.53,-52673.31,27034082.79,-0.19,0.31,0.01,54.03,529.46,2.15,4.31,4.31,0.0,81.04,794.25,4.47,7.59,83.38,2.45,162.08,2972.93,3.52,0.0,213.57,7.59,0.06,0.44,0.03,0.46,0.03,0.4,14921.62,2972.93,79290.74,40599267.02,0.29,0.46,0.01,81.04,794.25,3.23,6.46,6.46
0,9,0.01,179.46,2281.73,8.01,35.23,738.45,5.79,358.92,7147.23,6.86,0.0,1979.69,35.23,0.07,0.89,0.03,0.97,0.01,0.57,33497.48,7147.23,-158816.39,112759904.36,-0.46,1.0,0.05,179.46,2281.73,5.21,10.41,10.41,0.01,55.22,701.57,1.9,10.92,195.27,1.45,110.44,2188.71,1.57,0.0,617.56,10.92,0.02,0.27,0.01,0.3,0.0,0.17,10303.8,2188.71,-47609.09,34448708.5,-0.25,0.31,0.02,55.22,701.57,1.59,3.19,3.19,0.01,82.83,1052.82,2.85,17.41,327.15,2.17,165.67,3368.3,2.36,0.01,1120.95,17.41,0.04,0.41,0.02,0.45,0.01,0.3,15458.21,3368.3,71727.9,55169897.47,0.37,0.46,0.03,82.83,1052.82,2.39,4.78,4.78
0,10,0.01,154.29,1790.0,10.17,18.31,203.12,5.52,308.57,6621.67,7.89,0.0,538.31,18.31,0.13,0.94,0.07,0.99,0.04,0.85,25324.87,6621.67,43490.49,99074976.52,-0.37,0.99,0.03,154.29,1790.0,6.23,12.46,12.46,0.0,47.48,550.46,2.66,5.64,59.78,1.63,94.96,2035.62,2.2,0.0,166.23,5.64,0.04,0.29,0.02,0.31,0.01,0.26,7793.83,2035.62,13682.22,30421214.38,-0.19,0.31,0.01,47.48,550.46,1.92,3.83,3.83,0.01,71.22,825.8,3.98,8.64,97.11,2.45,142.44,3056.38,3.3,0.0,268.33,8.64,0.06,0.43,0.03,0.46,0.02,0.39,11691.29,3056.38,23933.59,45807972.75,0.28,0.46,0.02,71.22,825.8,2.87,5.75,5.75
0,11,0.01,178.9,1446.16,9.08,25.01,371.87,5.76,357.81,4787.35,7.34,0.0,997.3,25.01,0.09,0.92,0.03,0.99,0.02,0.66,32954.04,4787.35,-36340.93,57812177.3,-0.38,0.99,0.05,178.9,1446.16,5.61,11.21,11.21,0.0,55.06,444.56,2.27,7.72,110.57,1.61,110.11,1469.07,1.89,0.0,309.19,7.72,0.03,0.28,0.01,0.3,0.01,0.2,10141.4,1469.07,-10716.36,17662895.86,-0.21,0.31,0.02,55.06,444.56,1.72,3.44,3.44,0.01,82.59,667.12,3.4,11.79,188.96,2.42,165.17,2213.18,2.83,0.0,504.9,11.79,0.04,0.42,0.02,0.45,0.01,0.31,15212.98,2213.18,26669.61,26856072.29,0.32,0.46,0.02,82.59,667.12,2.58,5.16,5.16
0,12,0.01,160.66,1274.15,10.06,17.26,176.62,5.39,321.33,4622.1,7.59,0.0,474.49,17.26,0.13,0.94,0.07,0.99,0.03,0.81,26849.92,4622.1,69703.92,50927025.89,-0.28,0.98,0.04,160.66,1274.15,5.85,11.7,11.7,0.0,49.44,392.05,2.73,5.32,52.45,1.62,98.87,1421.71,2.18,0.0,146.47,5.32,0.04,0.29,0.02,0.31,0.01,0.25,8261.4,1421.71,21446.19,15664518.71,-0.15,0.31,0.01,49.44,392.05,1.8,3.6,3.6,0.0,74.15,588.09,4.09,8.11,84.11,2.43,148.31,2133.88,3.28,0.0,234.45,8.11,0.06,0.43,0.03,0.46,0.01,0.38,12392.12,2133.88,33215.69,23541628.05,0.22,0.46,0.02,74.15,588.09,2.7,5.4,5.4
0,13,0.0,177.38,1182.05,10.75,16.82,166.64,5.44,354.77,4278.5,7.81,0.0,449.69,16.82,0.13,0.94,0.07,0.99,0.05,0.81,32422.52,4278.5,-92083.9,50139018.75,-0.31,0.99,0.03,177.38,1182.05,6.37,12.75,12.75,0.0,54.58,363.61,2.87,5.19,48.88,1.64,109.16,1315.44,2.26,0.0,139.01,5.19,0.04,0.29,0.02,0.31,0.02,0.25,9976.36,1315.44,-28205.55,15406725.57,-0.17,0.31,0.01,54.58,363.61,1.96,3.92,3.92,0.0,81.87,545.44,4.3,7.95,75.91,2.46,163.75,1975.25,3.39,0.0,221.99,7.95,0.06,0.43,0.03,0.46,0.02,0.37,14964.67,1975.25,42535.22,23192656.76,0.25,0.46,0.01,81.87,545.44,2.94,5.88,5.88
0,14,0.0,113.92,1957.25,10.45,19.68,347.65,5.61,227.85,7093.88,7.84,0.0,735.11,19.68,0.12,0.93,0.05,0.99,0.04,0.81,14568.05,7093.88,540654.48,176321596.58,-0.42,1.0,0.03,113.92,1957.25,6.62,13.24,13.24,0.0,35.06,602.31,2.69,6.09,102.7,1.65,70.11,2181.01,2.18,0.0,228.23,6.09,0.04,0.29,0.02,0.3,0.01,0.25,4482.27,2181.01,166317.41,54170855.23,-0.21,0.31,0.01,35.06,602.31,2.04,4.07,4.07,0.0,52.58,903.54,4.04,9.41,166.52,2.48,105.17,3273.61,3.27,0.0,377.65,9.41,0.06,0.43,0.03,0.46,0.02,0.38,6723.56,3273.61,250036.41,81531272.42,0.31,0.46,0.01,52.58,903.54,3.05,6.11,6.11
0,15,0.0,166.04,1368.22,9.93,19.33,214.76,5.53,332.07,4884.56,7.59,0.0,588.32,19.33,0.11,0.93,0.05,0.99,0.03,0.79,28641.98,4884.56,-32346.24,78693832.82,-0.32,0.99,0.03,166.04,1368.22,5.93,11.85,11.85,0.0,51.09,420.41,2.59,5.96,64.19,1.63,102.18,1499.55,2.09,0.0,182.09,5.96,0.03,0.29,0.01,0.3,0.01,0.24,8812.39,1499.55,-9625.25,24084639.67,-0.18,0.31,0.01,51.09,420.41,1.82,3.64,3.64,0.0,76.63,631.39,3.89,9.07,102.51,2.45,153.27,2258.77,3.13,0.0,289.35,9.07,0.05,0.43,0.02,0.46,0.02,0.36,13218.89,2258.77,18566.45,36643515.21,0.27,0.46,0.02,76.63,631.39,2.73,5.46,5.46
0,16,0.0,171.56,1962.65,10.0,18.03,205.76,5.49,343.13,7319.67,7.75,0.0,530.94,18.03,0.12,0.94,0.05,0.99,0.05,0.86,31131.1,7319.67,16947.58,92494639.86,-0.43,1.0,0.03,171.56,1962.65,6.35,12.7,12.7,0.0,52.79,603.88,2.55,5.57,60.16,1.61,105.59,2250.67,2.11,0.0,164.83,5.57,0.04,0.29,0.02,0.31,0.02,0.27,9580.36,2250.67,5288.08,28436870.16,-0.21,0.31,0.01,52.79,603.88,1.95,3.9,3.9,0.0,79.19,905.96,3.83,8.58,96.67,2.42,158.39,3377.4,3.16,0.0,265.84,8.58,0.06,0.43,0.03,0.46,0.03,0.4,14370.88,3377.4,13520.3,42740907.33,0.32,0.46,0.01,79.19,905.96,2.93,5.86,5.86
0,17,0.0,152.99,2116.22,10.33,24.28,428.96,5.91,305.98,7446.54,7.95,0.0,1018.33,24.28,0.1,0.92,0.04,0.99,0.03,0.76,25012.68,7446.54,1657.08,111469078.1,-0.37,1.0,0.02,152.99,2116.22,6.34,12.67,12.67,0.0,47.08,650.43,2.66,7.5,124.69,1.73,94.16,2286.08,2.19,0.0,315.65,7.5,0.03,0.28,0.01,0.3,0.01,0.23,7696.99,2286.08,1849.98,34091506.89,-0.2,0.31,0.01,47.08,650.43,1.95,3.9,3.9,0.0,70.62,976.09,3.99,11.61,210.78,2.6,141.25,3445.85,3.28,0.0,529.05,11.61,0.05,0.42,0.02,0.45,0.01,0.35,11545.78,3445.85,12177.17,52431078.25,0.29,0.46,0.01,70.62,976.09,2.92,5.84,5.84
