intensity_filename,mask_filename,label,GaborTextures()[0],GaborTextures()[1],GaborTextures()[2],GaborTextures()[3],GaborTextures()[4],GaborTextures()[5],GaborTextures()[6]
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,1,0.15568862,0.065202927,0.040585496,0.15369261,0.14105123,0.13905522,0.14038589
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,2,0.16992583,0.045178692,0.031692515,0.060013486,0.048550236,0.048550236,0.047875927
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,3,0.15904573,0.046388337,0.032471836,0.066931743,0.052352551,0.053015242,0.052352551
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,4,0.17208672,0.071815718,0.02303523,0.027777778,0.019647696,0.018292683,0.013550136
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,5,0.31139241,0.098101266,0.028481013,0.16898734,0.14873418,0.14746835,0.14620253
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,6,0.35883085,0.28233831,0.210199,0.27985075,0.25870647,0.25808458,0.2568408
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,7,0.27597196,0.065646909,0.041427661,0.23135755,0.20905035,0.20905035,0.20777565
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,8,0.47334618,0.13808606,0.053949904,0.3256262,0.29479769,0.29608221,0.29672447
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,9,0.16911765,0.049465241,0.013368984,0.042112299,0.03342246,0.030080214,0.028743316
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,10,0.3241335,0.13863928,0.048138639,0.17265725,0.15147625,0.15019255,0.15147625
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,11,0.22694094,0.074319841,0.04047777,0.082282681,0.069011281,0.065029861,0.065693431
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,12,0.23756545,0.060209424,0.083769634,0.23036649,0.20876963,0.20746073,0.20942408
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,13,0.29190567,0.070745698,0.033779477,0.27278521,0.24984066,0.24792862,0.24984066
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,14,0.12150127,0.050890585,0.06043257,0.15966921,0.15267176,0.14885496,0.14949109
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,15,0.23359073,0.11518662,0.04954955,0.15122265,0.13770914,0.12934363,0.12805663
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,16,0.2202729,0.19168291,0.081871345,0.1351527,0.11565952,0.1137102,0.11630929
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,17,0.31712062,0.11738003,0.031128405,0.15823606,0.13942931,0.13488975,0.13359274
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,18,0.22032742,0.068212824,0.027967258,0.05047749,0.03478854,0.03478854,0.034106412
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,19,0.29133858,0.13451444,0.062992126,0.14632546,0.11811024,0.11417323,0.11614173
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,20,0.16766867,0.046760187,0.016700067,0.036740147,0.034736139,0.031396126,0.028056112
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,21,0.23413706,0.15038071,0.045685279,0.16497462,0.1465736,0.14467005,0.14467005
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,22,0.24837027,0.11016949,0.058670143,0.18578879,0.1642764,0.15971317,0.1577575
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,23,0.24475524,0.13286713,0.036236491,0.15702479,0.14939606,0.14558169,0.1411316
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,24,0.24591236,0.10922171,0.030739045,0.11379987,0.098757358,0.096795291,0.098103336
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,25,0.20107599,0.032279758,0.028244788,0.062542031,0.051109617,0.047747142,0.045057162
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,26,0.22392027,0.050498339,0.038538206,0.095681063,0.081727575,0.078405316,0.078405316
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,27,0.31981687,0.11968607,0.052975801,0.18901243,0.16677567,0.16415958,0.16677567
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,28,0.23363874,0.05039267,0.015706806,0.09947644,0.087041885,0.085078534,0.084424084
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,29,0.14075067,0.064343164,0.032841823,0.066353887,0.054289544,0.052949062,0.052949062
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,30,0.16072586,0.24497732,0.1367466,0.19896306,0.16979909,0.16267012,0.16461439
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,31,0.1992238,0.17981889,0.12936611,0.16041397,0.14100906,0.13583441,0.13454075
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,32,0.41720569,0.13971539,0.043337646,0.29107374,0.26778784,0.26649418,0.26843467
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,33,0.46695096,0.17324094,0.10127932,0.36620469,0.36940299,0.36567164,0.36513859
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,34,0.24883256,0.15743829,0.12341561,0.1054036,0.092061374,0.09006004,0.092728486
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,35,0.33333333,0.16015625,0.061848958,0.20117188,0.17643229,0.17382812,0.17317708
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,36,0.28534538,0.053582957,0.020012912,0.12911556,0.11555842,0.11362169,0.11555842
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,37,0.23448726,0.12083605,0.050947093,0.093403005,0.078380144,0.077073808,0.077073808
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,38,0.30950939,0.14294367,0.052089643,0.37129013,0.3555421,0.35069655,0.34827377
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,39,0.31696136,0.089063523,0.023575639,0.15127701,0.13686968,0.1362148,0.13425016
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,40,0.2300995,0.042910448,0.086442786,0.17661692,0.16355721,0.15982587,0.16169154
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,41,0.3586471,0.19144863,0.11359285,0.20421187,0.16656031,0.16081685,0.16400766
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,42,0.35568862,0.23173653,0.15568862,0.16586826,0.15449102,0.1497006,0.15389222
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,43,0.14861111,0.065972222,0.046527778,0.03125,0.021527778,0.019444444,0.01875
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,44,0.23624161,0.062416107,0.032885906,0.065771812,0.053691275,0.053691275,0.053020134
