intensity_filename,mask_filename,label,original-area,original-centroid_y,original-centroid_x,original-bbox_ymin,original-bbox_xmin,original-bbox_height,original-bbox_width,original-major_axis_length,original-minor_axis_length,original-eccentricity,original-orientation,original-convex_area,original-euler_number,original-equivalent_diameter,original-solidity,original-perimeter,original-max_feret,original-min_feret,original-neighbors,original-polygonality_score,original-hexagonality_score,original-hexagonality_sd,original-circularity,original-extremap1_x,original-extremap1_y,original-extremap2_x,original-extremap2_y,original-extremap3_x,original-extremap3_y,original-extremap4_x,original-extremap4_y,original-extremap5_x,original-extremap5_y,original-extremap6_x,original-extremap6_y,original-extremap7_x,original-extremap7_y,original-extremap8_x,original-extremap8_y,original-extent,original-max_feret_angle,original-min_feret_angle,original-convex_hull_perimeter,original-filled_area_pixels,original-max_inclosing_circle_diameter,original-diameter_min_enclosing_circle,original-diameter_circumscribing_circle,original-diameter_inscribing_circle,original-diameter_equal_perimeter,original-rotated_bounding_box_height,original-rotated_bounding_box_width,original-geodetic_length,original-thickness,original-erosion_pixels,original-erosion_complement_pixels,original-fractal_dimension_box_counting,original-fractal_dimension_perimeter,original-feret_diameter_min,original-feret_diameter_max,original-feret_diameter_mean,original-feret_diameter_median,original-feret_diameter_std,original-feret_diameter_mode, original-martin_length_min,original-martin_length_max,original-martin_length_mean,original-martin_length_median,original-martin_length_std,original-martin_length_mode,original-nassenstein_diameter_min,original-nassenstein_diameter_max,original-nassenstein_diameter_mean,original-nassenstein_diameter_median,original-nassenstein_diameter_std,original-nassenstein_diameter_mode,original-maxchords_min,original-maxchords_max,original-maxchords_mean,original-maxchords_median,original-maxchords_std,original-maxchords_mode,original-allchords_min,original-allchords_max,original-allchords_mean,original-allchords_median,original-allchords_std,original-allchords_mode,original-x_max,original-y_max
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,1,234,5.5854701,161.88462,0.5,148.5,13,25,25.554172,13.197566,0.85631467,-6.8964503,199,0,17.260882,1.1758794,60.842596,25.330259,12.000001,3,7.792936,6.2013727,0.34102854,0.79434698,148.5,0.5,173.5,0.5,173.5,0.5,173.5,5.5,164.5,13.5,162.5,13.5,148.5,2.5,148.5,0.5,0.72000003,171,90,60.506758,234,12.165525,24.331251,317.90154,269.77177,19.3668,31,20,12,25,15.210649,15.210649,10,2,1.5779391,1.0987216,12,25,20.259659,21.300839,4.2622563,24,17,32,26.911111,27,4.1181022,31,1,27,13.783333,18,9.3096575,1,16,31,22.894444,22,3.4099482,22,1,31,8.3603196,5,7.3943301,2
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,2,74,3.1621622,184.91892,0.5,177.5,7,15,15.791125,7.7055636,0.87286152,-4.5822399,61.5,0,9.7066846,1.203252,34.78351,15,7.0000004,2,nan,nan,nan,0.76859006,177.5,0.5,192.5,0.5,192.5,0.5,192.5,2.5,187.5,7.5,186.5,7.5,177.5,2.5,177.5,0.5,0.70476192,0,90,34.531594,74,6,14.020275,363.86353,335.86568,11.071935,19,12,7,15,9.9679969,7.4237583,6,2,1.7,1.3026386,7,15,11.991555,12.669776,2.5525631,14,10,21,16.455556,17,2.6380174,18,1,16,3.5833333,2,4.3203331,2,9,19,13.85,14,2.362849,11,1,19,3.927851,2,3.6435803,1
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,3,85,3.1058824,206.4,0.5,197.5,6,18,18.132604,7.613114,0.90758993,-3.7700777,66,0,10.403142,1.2878788,38.536631,18,6.0000004,2,nan,nan,nan,0.71925236,197.5,0.5,215.5,0.5,215.5,0.5,215.5,1.5,210.5,6.5,202.5,6.5,197.5,2.5,197.5,0.5,0.78703701,0,90,38.536631,85,6,17.0002,406.8218,372.82379,12.266591,19,8,6,18,12.430047,6.8382686,6,2,1.2169925,1.0561914,6,18,13.266387,13.727922,3.6439273,17,14,23,20.188889,21,2.5227606,22,1,19,3.4055556,2,3.6918788,1,7,19,13.738889,14,3.3255975,10,1,19,3.195658,2,3.1211982,2
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,4,17,3.3529412,255.05882,0.5,253.5,6,3,8.2956915,4.3964915,0.84801459,-65.822093,5,0,4.6524265,3.4,12.385165,6.3851328,2.8671608,1,nan,nan,nan,1.3926924,253.5,0.5,256.5,0.5,256.5,0.5,256.5,6.5,256.5,6.5,254.5,6.5,253.5,5.5,253.5,0.5,0.94444442,112,21,12.385165,17,4,5.3853645,504.13961,500.13979,3.9423204,7,6,6,3,3.0962912,3.0962912,4,1,0.79248125,1,2,6,4.9422619,5.2876808,1.2087761,5,4,9,6.35,6,1.4623991,6,1,7,3.3111111,3.5,2.1063103,1,4,7,6.0833333,6,0.59511904,6,1,7,2.9416058,2,1.9478596,1
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,5,243,9.600823,223.09877,0.5,211.5,18,22,25.786858,13.835717,0.84387399,23.529693,241.5,0,17.58969,1.0062112,62.201929,25.207127,13.886732,3,7.8492741,7.2677252,0.22668516,0.7892388,226.5,0.5,232.5,0.5,233.5,5.5,233.5,11.5,217.5,18.5,216.5,18.5,211.5,15.5,211.5,9.5,0.61363637,38,118,61.09128,243,12,24.207638,440.19825,398.20736,19.799489,28,14,23.571091,14.307386,15.550482,15.550482,6,2,1.6888287,1.1274839,13,25,20.445855,21.469071,3.5510742,22,13,32,25.827778,26,4.6053478,32,1,32,5.8,3,6.0519969,1,14,28,20.927778,21,3.8297528,20,1,28,5.0308752,2,5.632189,2
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,6,484,15.080579,63.512397,1.5,51.5,27,25,28.187628,22.674515,0.5940695,56.774298,461,1,24.824342,1.0498915,77.726714,28.202938,22.213203,0,nan,nan,nan,1.0067337,63.5,1.5,67.5,1.5,76.5,10.5,76.5,13.5,64.5,28.5,58.5,28.5,51.5,20.5,51.5,14.5,0.71703702,54,135,77.726714,484,21.540659,27.203142,121.42406,73.143254,24.741182,33,24,27.870054,22.213203,19.431679,19.431679,9,2,1.8838285,1.0666002,22,28,25.741034,26.378096,2.0722672,26,23,41,37.733333,39,3.9109533,41,1,30,5.0555556,2,7.7701153,1,23,33,26.988889,27,2.6603861,24,1,33,4.8171872,2,6.9816435,2
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,7,353,14.985836,246.75921,3.5,236.5,22,20,25.100413,18.618876,0.67064809,-51.93365,317.5,0,21.20032,1.111811,66.972667,25.999936,19.384777,5,8.9576192,8.8287861,0.099479232,0.98898425,240.5,3.5,246.5,3.5,256.5,10.5,256.5,24.5,255.5,25.5,243.5,25.5,236.5,16.5,236.5,10.5,0.80227274,127,45,66.685633,353,18.439089,25.0002,487.62038,449.80408,21.318062,30,26,19.381739,22.160374,16.743167,16.743167,8,2,1.898898,1.0630336,19,25,22.226564,21.997895,2.2938034,19,25,34,31.627778,33,2.9814809,34,1,29,4.1222222,2,6.7984112,1,21,30,26.25,27,1.951851,28,1,30,6.9564327,3,7.5900188,2
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,8,485,16.635052,184.99381,5.5,170.5,23,30,29.947653,21.984131,0.67905729,2.1551651,470.5,1,24.849973,1.0308183,81.767987,30.427665,22.886043,5,9.5997792,9.0120038,0.091047742,0.91155944,178.5,5.5,182.5,5.5,200.5,11.5,200.5,16.5,185.5,28.5,179.5,28.5,170.5,17.5,170.5,14.5,0.70289856,10,77,80.623161,485,20,29.428078,364.10566,306.07398,26.027559,32,25,22.873257,29.458138,20.441997,20.441997,9,2,1.8108279,1.0777112,22,30,26.663054,26.787932,2.6204482,23,24,43,38.616667,41,4.9083546,42,1,29,3.55,2,5.0982295,1,23,32,27.122222,26.5,2.7011429,24,1,32,4.0882895,2,6.6201023,1
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,9,46,20.913043,160.47826,16.5,156.5,8,8,9.8252289,7.5356225,0.64168701,-47.553797,34.5,1,7.6530399,1.3333333,22.0552,8.2801065,7.363961,1,nan,nan,nan,1.1883536,159.5,16.5,161.5,16.5,164.5,20.5,164.5,22.5,163.5,24.5,158.5,24.5,156.5,22.5,156.5,19.5,0.71875,106,45,22.0552,46,7.2111025,7.7586727,316.36562,302.24017,7.0203882,10,10,7.6000004,7.8000002,5.5138,5.5138,4,1,1.2924813,1.0721654,7,8,8.0203018,8.0621988,0.21738548,8,8,16,11.383333,12,2.0365412,12,1,8,2.1888889,1,2.151973,1,8,10,9.3277778,9,0.56598543,9,1,10,3.4328138,2,2.8422276,2
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,10,255,23.631373,222.93725,14.5,213.5,19,19,23.15208,15.240906,0.75275975,46.743075,234,1,18.01877,1.0897436,57.595594,23.627419,15.064662,5,9.1459048,8.1328356,0.15125421,0.96598755,222.5,14.5,230.5,14.5,232.5,17.5,232.5,23.5,221.5,33.5,216.5,33.5,213.5,30.5,213.5,26.5,0.70637119,45,129,57.535968,255,14.422205,22.627617,440.21312,404.66384,18.333247,32,19,23.489021,15.055639,14.398898,14.398898,7,2,1.7773139,1.0307818,15,23,19.314231,19,2.9040884,15,15,32,28.394444,29,3.5986066,32,1,24,7.5055556,3,7.7771012,1,16,32,20.972222,21,4.4739127,16,1,32,5.7470539,3,5.5865728,3
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,11,103,29.61165,249.28155,24.5,243.5,10,13,14.359962,10.743256,0.66354139,2.4279797,89,0,11.451798,1.1573034,36.334858,14.416021,9.8891945,3,5.8187011,8.4113147,0.12614554,0.98039287,248.5,24.5,250.5,24.5,256.5,27.5,256.5,30.5,250.5,34.5,243.5,34.5,243.5,34.5,243.5,25.5,0.79230767,27,99,36.334858,103,10,13.601671,495.21939,470.55248,11.565745,16,12,13,10,9.0837146,9.0837146,5,2,1.5700223,1.0219915,9,14,12.565585,13.113508,1.4291064,13,10,20,15.372222,15,2.0194349,15,1,18,3.85,2,3.7807627,1,10,16,13.277778,13,1.5918388,15,1,16,4.4184089,2,4.1241826,2
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,12,326,36.134969,200.14417,25.5,189.5,21,22,21.364537,20.322049,0.3085604,23.839396,302.5,1,20.373416,1.077686,62.691431,22.213147,19.384776,5,8.5278634,9.343185,0.063670272,1.0423441,200.5,25.5,202.5,25.5,211.5,35.5,211.5,36.5,202.5,46.5,197.5,46.5,189.5,39.5,189.5,34.5,0.70562768,8,135,62.691431,326,18.867962,21.293455,397.23203,355.31392,19.955302,36,22,20.798988,19.384775,15.672858,15.672858,8,2,1.7328745,1.0418582,19,22,20.95511,21.071739,0.76164689,21,19,36,23.116667,22,3.7346352,22,1,24,18.761111,21,6.7390767,22,20,36,22.344444,22,1.7394834,22,1,36,11.410523,13,8.2068234,1
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,13,403,38.816377,231.03474,27.5,220.5,24,22,25.273227,21.279124,0.53953514,54.371911,378.5,1,22.652054,1.0647292,71.856937,26.806136,20.798988,5,9.0244591,9.132376,0.079869424,0.98079333,228.5,27.5,237.5,27.5,242.5,34.5,242.5,40.5,228.5,51.5,227.5,51.5,220.5,41.5,220.5,33.5,0.76325756,54,135,71.357401,403,19.79899,25.846972,458.34672,416.80021,22.872774,35,23,22,24,17.964234,17.964234,9,2,1.8111254,1.0434272,20,26,23.713556,23.345243,1.969835,22,21,38,36.111111,37,2.5470874,38,1,25,3.9166667,2,5.410766,1,22,35,24.755556,24,2.4212536,24,1,35,5.0596777,2,6.4098896,1
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,14,255,39.501961,176.40392,30.5,166.5,19,20,23.982803,14.024731,0.81118992,-43.395582,234,1,18.01877,1.0897436,57.752028,23.203515,13.727922,3,6.0209642,7.8263789,0.17639067,0.96076144,168.5,30.5,176.5,30.5,186.5,41.5,186.5,44.5,181.5,49.5,178.5,49.5,166.5,37.5,166.5,32.5,0.67105263,144,45,57.752028,255,14.142136,22.203804,353.60603,312.36461,18.383042,25,16,13.727921,22.920309,14.438007,14.438007,6,2,1.7027923,1.0538455,13,23,19.382815,19.658608,3.0842374,22,14,33,27.261111,29,5.2602956,33,1,22,4.15,1,5.7508212,1,15,25,19.494444,18,3.2531988,24,1,25,3.9235129,2,5.4740854,1
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,15,214,41.5,250.2757,30.5,241.5,20,15,19.13573,16.218817,0.53068805,-85.55828,201.5,0,16.506764,1.0620347,56.776596,20.722432,15,3,7.3575744,8.6962015,0.10061027,0.83422833,255.5,30.5,256.5,30.5,256.5,30.5,256.5,50.5,256.5,50.5,250.5,50.5,241.5,42.5,241.5,40.5,0.71333331,60,0,56.132265,214,14,20.506546,497.60033,468.17861,18.072552,24,18,15,20,14.194149,14.194149,9,2,1.3736966,1.1606823,15,20,18.867173,19.344468,1.5747007,19,17,29,26.077778,27.5,3.1454651,29,1,23,6.1166667,3,6.5669839,1,15,24,21.038889,21,1.6137048,22,1,24,4.3751429,2,5.2119845,2
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,16,189,42.94709,216.06878,32.5,209.5,21,12,22.056257,11.920547,0.84136907,-82.554626,174.5,1,15.512649,1.0830946,52.485347,21.395781,11.674269,3,7.0569002,7.2917017,0.22834656,0.86217518,213.5,32.5,216.5,32.5,221.5,41.5,221.5,50.5,218.5,53.5,214.5,53.5,209.5,40.5,209.5,38.5,0.75,101,7,51.842283,189,10.770329,20.396278,431.20212,406.73511,16.706605,24,12,11.666987,21.341698,13.121337,13.121337,6,2,1.6962828,1.1186536,11,21,17.501736,17.970562,3.2039906,20,18,29,26.055556,26,2.5093652,29,1,21,5.7388889,3,5.7671136,1,11,24,17.188889,17,3.6663468,13,1,24,4.0455816,2,4.3182633,2
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,17,237,54.14346,59.105485,44.5,51.5,20,15,20.275286,15.842592,0.62406237,87.27576,217.5,1,17.371176,1.0896552,53.893631,20.104973,15,2,nan,nan,nan,1.0253764,57.5,44.5,62.5,44.5,66.5,48.5,66.5,55.5,60.5,64.5,58.5,64.5,51.5,58.5,51.5,50.5,0.79000002,84,0,53.780668,237,15.231546,19.210728,145.03959,112.50658,17.154875,28,16,15,20,13.473408,13.473408,7,2,1.6459432,1.0474649,15,20,18.118704,18.317865,1.5956922,19,19,30,28.094444,29,2.3680682,30,1,19,5.0111111,2,5.5357313,1,15,28,19.227778,19,2.301764,20,1,28,4.4710886,2,5.1199229,1
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,18,54,54.462963,74.611111,50.5,70.5,8,8,9.65275,8.9242353,0.3811147,-47.885345,39,1,8.2918596,1.3846154,23.498602,9.485281,7.6805806,2,nan,nan,nan,1.2289086,72.5,50.5,77.5,50.5,78.5,51.5,78.5,56.5,76.5,58.5,72.5,58.5,70.5,57.5,70.5,53.5,0.84375,45,101,23.498602,54,8,8.4985657,173.57926,159.16536,7.4798374,11,10,8.0601807,7.6679482,5.8746505,5.8746505,4,2,1.160964,1.116136,7,9,8.4798065,8.2107882,0.52445057,8,8,14,11.738889,12,1.465772,13,1,10,4.4166667,3,2.9171428,3,8,11,9.9277778,10,0.53779959,10,1,11,4.4831487,3,2.9580699,3
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,19,189,53.746032,195.58201,48.5,183.5,11,23,23.965186,11.204736,0.88397075,1.4820366,171,1,15.512649,1.1052632,53.233314,23.022184,10.682397,2,nan,nan,nan,0.83811701,197.5,48.5,203.5,48.5,206.5,50.5,206.5,55.5,195.5,59.5,191.5,59.5,183.5,54.5,183.5,52.5,0.74703556,177,96,52.91812,189,10,22.022915,395.88145,352.70628,16.94469,27,24,22.791313,10.651861,13.308329,13.308329,6,2,1.7094738,1.0861111,10,23,17.844302,18.375257,4.0572075,22,9,30,27.95,29,2.6630705,30,1,22,4.7888889,2.5,5.7445519,1,10,27,17.461111,16.5,4.528139,13,1,27,3.8368761,2,4.1810337,1
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,20,43,57.046512,254.2093,51.5,250.5,10,6,11.323388,6.9977012,0.78618871,-88.76718,32,0,7.399277,1.34375,24.200793,10.48656,6,2,nan,nan,nan,0.92261207,254.5,51.5,256.5,51.5,256.5,51.5,256.5,61.5,256.5,61.5,252.5,61.5,250.5,60.5,250.5,59.5,0.71666664,72,0,24.200793,43,6,9.6210108,510.78917,500.59248,7.7033516,12,7,6,10,6.0501982,6.0501982,5,2,1.4036775,1.021166,6,10,8.7032537,9.0530078,1.5184218,10,5,12,8.5111111,9,1.7779167,7,4,13,8.0388889,8,2.1791025,11,6,12,9.0444444,9,1.6859624,7,1,12,5.8095238,6,2.7006977,7
